id,record_id,intro,name_biobank,inquiries,type_of_biobank,other_type,part_blood,other_process_blood,number,how_many,use_others,age_participants,when_collected,type_of_data,other_data_blood,date_and_time,ongoing,race,hispanic,preexisting,other_preexisting,upload_process,sample_size,other_sample_size,sample_temperature,other_sample_temperature,methods_obtain,methods_process,storage,upload_consent,comments,complete,future_use_consent,contact_patient_consent,dna_consent
11,11,,Nulliparous Pregnancy Outcomes Study: Monitoring Mothers-to-be (nuMoM2b),maurice.davis@nih.gov,"{""Blood (Maternal or Child)"",""Cord blood"",Urine,""Placental tissue"",""DNA/Genomic data"",Other}","cervico-vaginal fluid, BV slide, fetal membranes, umbilical cord segmen","{Serum,Plasma}","",5001+,"5,001 - 20,000","","{""0-30 days"",""18-45 years""}","{""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2011 - 2016,No,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White}",Yes,"{""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)""}","","","","","","",,,,"",Completed/edited by Chris Philip,Complete,,,
12,12,,Antenatal Late Preterm Steroids (ALPS),rclifton@bsc.gwu.edu,,"",,"","","","","{""0-30 days"",""2-5 years"",""5-18 years"",""18-45 years""}",{Postpartum},,"","","",,"",{Other},respiratory morbidity,"","","","","",,,,"","",Incomplete,,,
13,13,,Magee Obstetric Maternal & Infant Database and Biobank (MOMI),feghalim@upmc.edu,"{""Blood (Maternal or Child)"",""Cord blood"",Urine,""Placental tissue"",""DNA/Genomic data""}","","{""Whole blood"",Serum,Plasma}","","101 - 5,000","20,000+",Some (< 50%) specimens are available,"{""0-30 days"",""18-45 years""}","{""1st trimester"",""2nd trimester"",""3rd trimester""}","{Demographic,Clinical}","",2015,Yes,"{Asian,""Black or African American"",White}",Yes,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)""}","","",N/A,"",-60 to -80 degrees Celsius,"",,,,"","",Complete,,,
14,14,,PeriBank,jia.chen@bcm.edu,"{""Blood (Maternal or Child)"",""Cord blood"",""Placental tissue""}","","{Serum,Plasma,Other}","buff coat, PAXgene",5001+,"20,000+",Some (< 50%) specimens are available,"{""5-18 years""}","{""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2011 - 2019,No,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)"",Respiratory,Cardiovascular}","",PERIBANK_PROTOCOL_SUMMARY_V4_2014.pdf,500 microliter,"",-60 to -80 degrees Celsius,"",,,,PeriBank consent.pdf,"",Complete,,,
15,15,,UAB OB/GYN Research and Diagnostic Laboratory,rarend@uabmc.edu,"{""Blood (Maternal or Child)"",""Cord blood""}","",{Serum},"","101 - 5,000","5,001 - 20,000",Some (< 50%) specimens are available,"{""5-18 years"",""18-45 years"",""45+ years""}","{""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",< 2000,Yes,"{""Black or African American"",White,Other}",Yes,"{""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)""}","","","","","","",,,,"","",Complete,,,
16,16,,Women and Infants Health Specimen Consortium (WIHSC),christinekramer@wustl.edu,"{""Blood (Maternal or Child)"",""Cord blood"",""Placental tissue"",Other}","Amniotic fluid, Follicular fluid, Vaginal swabs, Buffy coat, Infant dried blood spot","{Serum,Plasma,Other}",Buffy coat,"101 - 5,000","5,001 - 20,000",All (>90%) specimens are available,"{""5-18 years""}","{""Before pregnancy"",""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2009 - 2016,No,"{Asian,""Black or African American"",White}",Yes,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)"",Respiratory,Cardiovascular}","",WIHSC SPECIMEN COLLECTION AND PROCESSING.docx,Other,2 ml,-60 to -80 degrees Celsius,"",,,,WIHSC_Consent_Aug_2022_v32.rtf,completed by Chris Philip from previously saved survey,Complete,,,
17,17,,UI Women's Health Tissue Repository,donna-santillan@uiowa.edu,"{""Blood (Maternal or Child)"",""Cord blood"",Urine,""Placental tissue""}","","{""Whole blood"",Serum,Plasma}","",5001+,"5,001 - 20,000",All (>90%) specimens are available,"{""5-18 years""}","{""Before pregnancy"",""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2009,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)"",Respiratory,Cardiovascular,Other}","We enroll everyone over 18, English-speaking, non-prisoner, HIV-, HepC-","",1 milliliter,"",-60 to -80 degrees Celsius,"",,,,"","",Complete,,,
21,18,,UCSD Mommy's Milk - The Human Milk Biorepository,kdutcher@health.ucsd.edu,"{""Blood (Maternal or Child)"",""Breast Milk"",""DNA/Genomic data"",Other}","DBS (maternal and child); skin swabs (maternal and child); stool (maternal and child); environmental swabs (maternal bedding, infant bedding, cellphone, kitchen sink handle)' buccal swabs (maternal and child); deciduous teeth;","{""Whole blood"",Other}","","101 - 5,000","20,000+",All (>90%) specimens are available,"{""0-30 days"",""31 days-2 years"",""2-5 years"",""5-18 years"",""18-45 years""}","{""N/A / No obstetric samples collected""}","{Demographic,Other}","maternal and infant health history, breastfeeding history, breastfeeding habits, first foods, infant adverse reactions, maternal exposures (vitamins, supplements, prescription medications, over the counter medications, caffeine, alcohol, tobacco, recreational substances, illnesses and fevers) for 14 days prior to sample collection, pump and dump information, biological sample collection details",2014,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,{Other},Lactating women,Breast Milk Sample Collectio...ct2021.pdf,Other,Breast milk: 10 1mLs; 5 5mLs; 1 15mL per sample,-60 to -80 degrees Celsius,"",,,,130658_MilkBiorep_012825_Con...lt.Eng.pdf,"Research Manager, Kerri Bertrand, kdutcher@health.ucsd.edu; General Inquiries, milkstudy@health.ucsd.edu; Sample Requests, https://mommysmilkresearch.org/human-milk-sample-request/",Complete,,,
22,19,,ABC biobank,maxout.zafarabbas@gmail.com,"{""Blood (Maternal or Child)"",""Cord blood"",Urine,""Placental tissue"",""Breast Milk"",""DNA/Genomic data""}","","{""Whole blood"",Serum,Plasma,Other}","",5001+,"20,000+",Some (< 50%) specimens are available,"{""0-30 days"",""18-45 years""}","{""Before pregnancy"",""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Clinical,Molecular/Analytes}","",2015,Yes,{Asian},No,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)""}","","",500 microliter,"",-60 to -80 degrees Celsius,"",,,,Sensor Status F No. 13 & 4.docx,"",Complete,,,
24,20,,Manitoba Interdisciplinary Lactation Center (MILC),larisa.lotoski@umanitoba.ca,"{""Breast Milk""}","",,"",0 - 100,"501 - 5,000",All (>90%) specimens are available,"{""18-45 years""}",{Postpartum},"{Demographic,Clinical,Molecular/Analytes,Other}","Study survey data includes detailed current and past human milk feeding practices, medication, daily physical wake and sleeping behaviours (IPAQ-SF), 24 hr food recall, and child and parent health conditions. Macronutrient analysis is performed on all human milk samples. Human milk sample (including compositional profiles) and survey data can be linked to provincial administrative data housed at the Manitoba Population Research Data Repository (a comprehensive collection of administrative, registry, survey, and other data primarily relating to residents of Manitoba). For more information on the data repository, click here: https://umanitoba.ca/manitoba-centre-for-health-pol icy/data-repository",2024,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",White,Other}",No,{Other},Study participation inclusion criteria includes parents aged 18 years or older that are lactating and feeding a child their milk. Children receiving this milk can also be enrolled in the study.,MILC_Sample_Processing_SOP 2..._09_11.pdf,500 microliter,"",-60 to -80 degrees Celsius,"",,,,MILC Parent and Child Consen...024_09.pdf,"This study has collected unprocessed human milk samples in different volumes, ranging from 450 uL to 2mL.",Complete,,,
